,ID,X,Y
647,27845040,147.97,-36.142
648,27840880,147.081,-36.2433
649,29692210,147.06,-36.2177
650,27841810,146.714,-36.0616
651,29197810,147.366,-36.5343
652,28516690,147.74,-36.2064
653,27850210,147.101,-36.0579
654,27728950,147.643,-36.073
655,29688920,146.657,-36.4893
656,29685920,147.273,-36.3613
657,29686960,147.837,-36.2135
658,29685330,147.822,-36.1409
659,28517300,146.938,-36.4443
660,28517160,146.482,-36.4123
661,27845500,147.026,-36.3342
662,27839280,146.935,-36.2425
663,29688120,146.729,-36.3762
664,27844630,147.144,-36.2222
665,27221310,147.198,-36.3714
666,27842880,147.285,-36.047
667,27848810,147.318,-36.0837
668,29685550,146.995,-36.4551
669,27840080,147.818,-36.3638
670,27848460,147.041,-36.387
671,28515870,147.908,-36.0445
672,29688940,147.16,-36.7369
673,29685940,147.393,-36.5035
674,27838880,147.448,-36.7334
675,28517550,146.829,-36.2418
676,29687210,147.735,-35.9648
677,29692920,146.251,-36.0755
678,27845180,146.996,-36.2426
679,29688430,146.872,-36.2955
680,28513770,147.052,-36.2072
681,27850030,147.079,-36.2401
682,27843570,147.192,-36.0619
683,27646820,146.955,-36.2127
684,27841370,147.079,-36.2401
685,29686560,147.243,-36.2151
686,27843620,147.472,-36.1522
687,28516110,147.582,-35.9893
688,29686790,146.869,-36.3368
689,28851230,147.597,-36.1251
690,27839640,147.924,-36.0493
691,27843120,147.224,-36.4154
692,29686020,147.19,-36.3601
693,27841710,146.391,-36.1572
694,27845650,147.052,-36.2074
695,29686600,147.203,-37.024
696,27841120,147.277,-36.0446
697,27849950,147.039,-36.1958
698,27842480,146.486,-36.4143
699,29172610,146.694,-36.5449
700,29686490,147.021,-36.7566
701,29686040,147.123,-36.2893
702,30379900,146.203,-36.0681
703,27840370,147.793,-36.5012
704,30247510,147.363,-36.5314
705,27843890,147.31,-36.064
706,27455230,147.63,-35.9671
707,28513370,146.94,-36.2363
708,27633760,146.834,-36.2382
709,27845050,147.945,-36.0605
710,28514080,147.033,-36.1683
711,28513860,146.391,-36.1575
712,27645340,146.94,-36.2364
713,29689930,147.523,-36.1618
714,28517370,147.013,-36.1113
715,27848300,147.944,-36.0596
716,29689640,147.136,-36.058
717,27845480,147.046,-36.491
718,27844890,146.929,-36.1479
719,28514810,146.864,-36.1359
