ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Segment End,5236210309,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,109,0.0378857,,2023-10-17T08:09:41.0,2023-10-17T08:09:41.0
Segment Start,5236207959,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,162,0.0,,2023-10-17T08:13:37.0,2023-10-17T08:13:37.0
Segment End,5236207959,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,163,0.0381675,,2023-10-17T08:13:41.0,2023-10-17T08:13:41.0
Segment Start,5218107573,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,168,0.0,,2023-10-17T08:14:36.0,2023-10-17T08:14:36.0
Segment End,5218107573,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,169,0.0192409,,2023-10-17T08:14:38.0,2023-10-17T08:14:38.0
Segment Start,5236208888,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,138,0.0,,2023-10-17T08:11:58.0,2023-10-17T08:11:58.0
Segment End,5236208888,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,139,0.0694179,,2023-10-17T08:12:04.0,2023-10-17T08:12:04.0
Segment Start,5510007474,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,4,0.0,,2023-10-17T07:34:15.0,2023-10-17T07:34:15.0
Segment End,5510007474,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,5,0.0740916,,2023-10-17T07:34:21.0,2023-10-17T07:34:21.0
Segment Start,5510106837,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,36,0.0,,2023-10-17T07:41:04.0,2023-10-17T07:41:04.0
Segment End,5510106837,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,37,0.1948382,,2023-10-17T07:41:21.0,2023-10-17T07:41:21.0
Segment Start,5236211717,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,84,0.0,,2023-10-17T08:06:58.0,2023-10-17T08:06:58.0
Segment End,5236211717,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,85,0.30770549999999997,,2023-10-17T08:07:26.0,2023-10-17T08:07:26.0
Segment Start,5218107684,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,166,0.37,,2023-10-17T08:14:15.0,2023-10-17T08:14:15.0
Segment End,5218107684,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,167,0.2327439,,2023-10-17T08:14:36.0,2023-10-17T08:14:36.0
Segment Start,5236208997,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,136,0.0,,2023-10-17T08:11:49.0,2023-10-17T08:11:49.0
Segment End,5236208997,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,137,0.0973845,,2023-10-17T08:11:58.0,2023-10-17T08:11:58.0
Segment Start,5236211197,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,94,0.0,,2023-10-17T08:08:22.0,2023-10-17T08:08:22.0
Segment End,5236211197,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,95,0.1691885,,2023-10-17T08:08:37.0,2023-10-17T08:08:37.0
Segment Start,5236108518,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,152,0.03,,2023-10-17T08:12:43.0,2023-10-17T08:12:43.0
Segment End,5236108518,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,153,0.0291997,,2023-10-17T08:12:46.0,2023-10-17T08:12:46.0
Segment Start,5236207228,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,204,0.0,,2023-10-17T08:18:10.0,2023-10-17T08:18:10.0
